2       100301.jpg       100302.jpg  1   0.94857    119.0      1.0    897.2    1789 0.053   930 0.607
3       100501.jpg       100503.jpg  1   0.86587    163.7     39.0    841.5    168 0.123   34 0.977
4       101100.jpg       101101.jpg  1   0.79284    691.9     55.3   5863.9    93 0.171   28 1.288
5       101400.jpg       101402.jpg  1   0.74060    172.2     22.9    790.8    38 0.105   8 1.733
6       101600.jpg       101601.jpg  1   0.86168    129.3     37.9    571.1    20 0.190   3 1.465
7       101700.jpg       101701.jpg  1   0.90179    472.1     14.2   4054.4    281 0.122   72 1.010
9       103100.jpg       103101.jpg  1   0.87836    337.9     31.0   2997.0    34 0.223   9 1.300
10       103100.jpg       103900.jpg  1   1.00000      0.0      0.0      0.0    1190 0.000   1186 0.000
11       103100.jpg       103901.jpg  1   0.87836    337.9     31.0   2997.0    34 0.223   9 1.300
12       103101.jpg       103102.jpg  1   0.90963    350.1     14.2   3188.7    41 0.209   11 1.376
13       103101.jpg       103900.jpg  1   0.87836    344.9     31.0   3017.5    33 0.208   14 1.344
14       103101.jpg       103901.jpg  1   1.00000      0.0      0.0      0.0    1028 0.000   1028 0.000
15       103101.jpg       103902.jpg  1   0.90963    350.1     14.2   3188.7    41 0.209   11 1.376
16       103102.jpg       103901.jpg  1   0.90963    350.1     14.2   3176.5    38 0.210   12 1.391
17       103102.jpg       103902.jpg  1   1.00000      0.0      0.0      0.0    1073 0.000   1073 0.000
18       103400.jpg       103401.jpg  1   0.95857    140.9      3.7   1370.9    95 0.185   13 1.245
19       103500.jpg       103501.jpg  1   0.85432    244.6     16.1   1479.8    303 0.108   96 0.905
20       103500.jpg       103502.jpg  1   0.90502    299.3     42.9   1746.7    56 0.208   14 1.443
21       103500.jpg       103503.jpg  1   0.82005    290.0     31.2   1742.1    45 0.217   18 1.534
22       103501.jpg       103502.jpg  1   0.86474    328.0     51.7   2005.6    44 0.201   16 1.275
23       103501.jpg       103503.jpg  1   0.76009    341.9     53.2   2022.3    27 0.222   9 1.344
24       103502.jpg       103503.jpg  1   0.82410    278.4      6.9   1359.6    370 0.110   109 0.897
28       103701.jpg       103702.jpg  1   0.88861    335.7     39.2   2438.0    225 0.126   78 0.880
29       103900.jpg       103901.jpg  1   0.87836    337.9     31.0   2997.0    34 0.223   9 1.300
30       103901.jpg       103902.jpg  1   0.90963    350.1     14.2   3188.7    41 0.209   11 1.376
31       104000.jpg       104001.jpg  1   0.95320    501.8      1.3   1556.6    780 0.109   268 0.727
32       104000.jpg       104002.jpg  1   0.95887    523.1      1.6   2071.6    748 0.108   234 0.698
33       104000.jpg       104006.jpg  1   0.93831    552.7      3.9   3534.1    224 0.203   23 1.236
34       104000.jpg       104101.jpg  1   0.85189    598.5     47.7   4889.2    42 0.257   9 1.337
35       104001.jpg       104002.jpg  1   0.96744    470.5      1.0   1419.7    786 0.098   305 0.688
36       104001.jpg       104006.jpg  1   0.91256    554.3      4.8   3519.7    190 0.207   20 1.282
37       104001.jpg       104101.jpg  1   0.86410    609.8     46.6   4777.3    34 0.247   9 1.586
38       104002.jpg       104006.jpg  1   0.91828    546.8      3.4   3411.0    225 0.198   21 1.196
39       104002.jpg       104101.jpg  1   0.86262    601.0     45.0   4763.4    32 0.256   9 1.382
40       104003.jpg       104004.jpg  1   0.96179    599.9      3.6   2257.6    515 0.147   102 0.913
41       104005.jpg       104006.jpg  1   0.90995    625.5     14.2   4428.5    319 0.168   43 0.969
42       104100.jpg       104101.jpg  1   0.89127    563.7     71.3   3727.8    43 0.226   7 1.289
43       104300.jpg       104301.jpg  1   0.69797    664.3    272.0   4733.1    39 0.130   15 1.295
44       104700.jpg       104701.jpg  1   0.63275    603.9    465.2   1937.1    24 0.151   10 1.775
