2       100301.jpg       100302.jpg  1     126.5     9.0
3       100501.jpg       100503.jpg  1     155.0    12.5
5       101400.jpg       101402.jpg  1     130.2    12.8
6       101600.jpg       101601.jpg  1     102.1    11.8
9       103100.jpg       103101.jpg  1     283.0    16.5
10       103100.jpg       103900.jpg  1       0.0     0.0
11       103100.jpg       103901.jpg  1     283.0    16.5
12       103101.jpg       103102.jpg  1     280.7    16.2
13       103101.jpg       103900.jpg  1     277.2    16.6
14       103101.jpg       103901.jpg  1       0.0     0.0
15       103101.jpg       103902.jpg  1     280.7    16.2
16       103102.jpg       103901.jpg  1     275.4    16.4
17       103102.jpg       103902.jpg  1       0.0     0.0
18       103400.jpg       103401.jpg  1     116.9    16.4
19       103500.jpg       103501.jpg  1     195.2    12.6
20       103500.jpg       103502.jpg  1     239.0    13.1
21       103500.jpg       103503.jpg  1     229.9    12.9
22       103501.jpg       103502.jpg  1     260.2    13.3
23       103501.jpg       103503.jpg  1     271.1    12.6
24       103502.jpg       103503.jpg  1     220.7    12.3
28       103701.jpg       103702.jpg  1     281.2    14.2
29       103900.jpg       103901.jpg  1     283.0    16.5
30       103901.jpg       103902.jpg  1     280.7    16.2
49       106000.jpg       106002.jpg  1     265.3    12.0
50       106200.jpg       106201.jpg  1     221.2    12.9
51       106200.jpg       106202.jpg  1     220.0    12.8
52       106201.jpg       106202.jpg  1     222.0    12.4
55       106600.jpg       106602.jpg  1     105.3    11.6
57       106603.jpg       106604.jpg  1     110.7     7.7
63       107100.jpg       107101.jpg  1     286.6    15.6
64       107200.jpg       107202.jpg  1     225.4    13.6
66       107400.jpg       107401.jpg  1      94.2    14.6
67       107600.jpg       107601.jpg  1     185.9    15.1
68       108100.jpg       108101.jpg  1      50.2    11.5
75       110301.jpg       110302.jpg  1     232.3    11.9
77       110800.jpg       110802.jpg  1     212.4    13.7
79       110900.jpg       110901.jpg  1     258.6    13.6
80       111000.jpg       111001.jpg  1     197.5    14.4
81       111000.jpg       111002.jpg  1     214.1    14.2
82       111001.jpg       111002.jpg  1     143.4    11.8
83       111400.jpg       111401.jpg  1     203.4    13.1
84       111800.jpg       111801.jpg  1     292.8    11.8
85       112000.jpg       112001.jpg  1     305.9    14.1
